Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803502.199143] 40 bytes from 88.80.187.84: icmp_seq=81 ttl=51 time=32.4 ms
[1621803503.200902] 40 bytes from 88.80.187.84: icmp_seq=82 ttl=51 time=32.5 ms
[1621803504.202547] 40 bytes from 88.80.187.84: icmp_seq=83 ttl=51 time=32.4 ms
[1621803505.204187] 40 bytes from 88.80.187.84: icmp_seq=84 ttl=51 time=32.4 ms
[1621803506.205232] 40 bytes from 88.80.187.84: icmp_seq=85 ttl=51 time=31.8 ms
[1621803507.208188] 40 bytes from 88.80.187.84: icmp_seq=86 ttl=51 time=32.7 ms
[1621803508.209984] 40 bytes from 88.80.187.84: icmp_seq=87 ttl=51 time=32.6 ms
[1621803509.211935] 40 bytes from 88.80.187.84: icmp_seq=88 ttl=51 time=32.7 ms
[1621803510.213728] 40 bytes from 88.80.187.84: icmp_seq=89 ttl=51 time=32.5 ms
[1621803511.215538] 40 bytes from 88.80.187.84: icmp_seq=90 ttl=51 time=32.6 ms
[1621803512.217692] 40 bytes from 88.80.187.84: icmp_seq=91 ttl=51 time=32.9 ms
[1621803513.218546] 40 bytes from 88.80.187.84: icmp_seq=92 ttl=51 time=32.6 ms
[1621803514.220540] 40 bytes from 88.80.187.84: icmp_seq=93 ttl=51 time=32.8 ms
[1621803515.222247] 40 bytes from 88.80.187.84: icmp_seq=94 ttl=51 time=32.5 ms
[1621803516.224038] 40 bytes from 88.80.187.84: icmp_seq=95 ttl=51 time=32.5 ms
[1621803517.226593] 40 bytes from 88.80.187.84: icmp_seq=96 ttl=51 time=33.3 ms
[1621803518.227752] 40 bytes from 88.80.187.84: icmp_seq=97 ttl=51 time=32.9 ms
[1621803519.228775] 40 bytes from 88.80.187.84: icmp_seq=98 ttl=51 time=32.8 ms
[1621803520.230669] 40 bytes from 88.80.187.84: icmp_seq=99 ttl=51 time=32.6 ms
[1621803521.232863] 40 bytes from 88.80.187.84: icmp_seq=100 ttl=51 time=32.9 ms

--- 88.80.187.84 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99160ms
rtt min/avg/max/mdev = 31.784/32.751/33.997/0.407 ms
Ping size: 64
PING 88.80.187.84 (88.80.187.84) 64(92) bytes of data.
[1621803521.270604] 72 bytes from 88.80.187.84: icmp_seq=1 ttl=51 time=32.9 ms
[1621803522.271832] 72 bytes from 88.80.187.84: icmp_seq=2 ttl=51 time=32.9 ms
[1621803523.272234] 72 bytes from 88.80.187.84: icmp_seq=3 ttl=51 time=32.2 ms
[1621803524.273990] 72 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.5 ms
[1621803525.275745] 72 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.5 ms
[1621803526.276812] 72 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=31.9 ms
[1621803527.279008] 72 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.0 ms
[1621803528.281274] 72 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=33.0 ms
[1621803529.281776] 72 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=32.3 ms
[1621803530.283031] 72 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=32.0 ms
[1621803531.284764] 72 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=32.5 ms
[1621803532.287279] 72 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=33.3 ms
[1621803533.288042] 72 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=32.6 ms
[1621803534.289545] 72 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.3 ms
[1621803535.291059] 72 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.8 ms
[1621803536.291570] 72 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=31.7 ms
[1621803537.294363] 72 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=32.5 ms
[1621803538.295049] 72 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=32.2 ms
[1621803539.295926] 72 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=32.1 ms
[1621803540.297535] 72 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=32.4 ms
[1621803541.299144] 72 bytes from 88.80.187.84: icmp_seq=21 ttl=51 time=32.4 ms
[1621803542.301152] 72 bytes from 88.80.187.84: icmp_seq=22 ttl=51 time=32.8 ms
[1621803543.302617] 72 bytes from 88.80.187.84: icmp_seq=23 ttl=51 time=32.2 ms
[1621803544.304136] 72 bytes from 88.80.187.84: icmp_seq=24 ttl=51 time=32.3 ms
[1621803545.306109] 72 bytes from 88.80.187.84: icmp_seq=25 ttl=51 time=32.7 ms
[1621803546.307891] 72 bytes from 88.80.187.84: icmp_seq=26 ttl=51 time=32.6 ms
[1621803547.309978] 72 bytes from 88.80.187.84: icmp_seq=27 ttl=51 time=32.9 ms
[1621803548.312046] 72 bytes from 88.80.187.84: icmp_seq=28 ttl=51 time=32.9 ms
[1621803549.314485] 72 bytes from 88.80.187.84: icmp_seq=29 ttl=51 time=33.3 ms
[1621803550.315214] 72 bytes from 88.80.187.84: icmp_seq=30 ttl=51 time=32.5 ms
[1621803551.317703] 72 bytes from 88.80.187.84: icmp_seq=31 ttl=51 time=33.3 ms
[1621803552.319453] 72 bytes from 88.80.187.84: icmp_seq=32 ttl=51 time=33.5 ms
[1621803553.319983] 72 bytes from 88.80.187.84: icmp_seq=33 ttl=51 time=32.3 ms
[1621803554.322243] 72 bytes from 88.80.187.84: icmp_seq=34 ttl=51 time=33.0 ms
[1621803555.324250] 72 bytes from 88.80.187.84: icmp_seq=35 ttl=51 time=33.8 ms
[1621803556.324518] 72 bytes from 88.80.187.84: icmp_seq=36 ttl=51 time=32.1 ms
[1621803557.327046] 72 bytes from 88.80.187.84: icmp_seq=37 ttl=51 time=33.3 ms
[1621803558.327721] 72 bytes from 88.80.187.84: icmp_seq=38 ttl=51 time=32.5 ms
[1621803559.330388] 72 bytes from 88.80.187.84: icmp_seq=39 ttl=51 time=33.5 ms
[1621803560.331662] 72 bytes from 88.80.187.84: icmp_seq=40 ttl=51 time=33.1 ms
[1621803561.333147] 72 bytes from 88.80.187.84: icmp_seq=41 ttl=51 time=33.3 ms
[1621803562.334662] 72 bytes from 88.80.187.84: icmp_seq=42 ttl=51 time=33.3 ms
[1621803563.338010] 72 bytes from 88.80.187.84: icmp_seq=43 ttl=51 time=35.2 ms
[1621803564.336768] 72 bytes from 88.80.187.84: icmp_seq=44 ttl=51 time=32.6 ms
[1621803565.338960] 72 bytes from 88.80.187.84: icmp_seq=45 ttl=51 time=33.0 ms
[1621803566.339609] 72 bytes from 88.80.187.84: icmp_seq=46 ttl=51 time=32.4 ms
[1621803567.341565] 72 bytes from 88.80.187.84: icmp_seq=47 ttl=51 time=32.7 ms
[1621803568.343569] 72 bytes from 88.80.187.84: icmp_seq=48 ttl=51 time=32.8 ms
